City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Ancud,CL,45.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
86,Buseresere,TZ,66.2,overcast clouds,-3.0236,31.8747,Flamingo Hotels
88,Riyadh,SA,69.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
89,Palmer,US,45.95,scattered clouds,42.1584,-72.3287,Wedgewood Motel
90,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
92,Bahia Honda,CU,79.77,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
93,Lagoa,PT,58.62,broken clouds,39.05,-27.9833,Casa Das Faias
94,Namatanai,PG,81.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
95,Tuatapere,NZ,60.67,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
96,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
99,Ewa Beach,US,85.95,scattered clouds,21.3156,-158.0072,Base Lodging
100,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
101,Tezu,IN,69.03,overcast clouds,27.9167,96.1667,Circuit House
102,Tucuman,AR,59.0,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
103,Macia,MZ,73.36,clear sky,-25.0269,33.0989,Hotel Taskin Macia
104,Severo-Kurilsk,RU,29.52,overcast clouds,50.6789,156.125,Kak Doma
106,Ulaangom,MN,14.94,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
107,Bratsk,RU,19.89,overcast clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
108,Nelson Bay,AU,72.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
109,Sitka,US,46.29,overcast clouds,57.0531,-135.33,Westmark Sitka
110,Lengshuitan,CN,55.38,clear sky,26.4111,111.5956,Jialong Hotel
111,Bima,ID,79.47,scattered clouds,-8.4667,118.7167,Lambitu Hotel
112,Praia Da Vitoria,PT,59.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
113,Bredasdorp,ZA,60.84,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
114,Hithadhoo,MV,83.07,clear sky,-0.6,73.0833,Scoop Guest House
115,Rajgarh,IN,77.07,clear sky,28.6333,75.3833,Nand Plaza Hotel Bar & Restaurant - Best Hotel | Bar | Top Restaurant in Sadulpur
116,Krusa,DK,31.64,scattered clouds,54.851,9.4013,Hotel Alte Direktionsvilla Kupfermühle
117,Mae Hong Son,TH,73.54,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
118,Kavieng,PG,80.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
120,Prince Rupert,CA,41.09,light rain,54.3161,-130.3201,Crest Hotel
123,Hastings,GB,37.33,clear sky,50.8552,0.5729,Zanzibar Hotel
124,New Norfolk,AU,59.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
