City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Peniche,PT,39.3558,-9.3811,51.12,71,100,11.01,overcast clouds
80,Irpa Irpa,BO,-17.7167,-66.2667,68.0,61,51,6.29,broken clouds
81,Pevek,RU,69.7008,170.3133,-1.82,90,100,0.31,overcast clouds
82,Raga,SS,8.4596,25.678,81.12,47,55,3.8,broken clouds
83,Ancud,CL,-41.8697,-73.8203,45.23,77,70,10.13,light rain
84,Tarko-Sale,RU,64.9225,77.785,-7.65,100,97,5.88,overcast clouds
85,Provideniya,RU,64.3833,-173.3,17.85,52,1,12.21,clear sky
86,Buseresere,TZ,-3.0236,31.8747,66.2,86,98,3.58,overcast clouds
87,Airai,TL,-8.9266,125.4092,68.04,53,74,1.52,broken clouds
88,Riyadh,SA,24.6877,46.7219,69.94,15,30,3.06,scattered clouds
89,Palmer,US,42.1584,-72.3287,45.95,51,40,9.22,scattered clouds
90,Mahebourg,MU,-20.4081,57.7,76.24,100,75,6.91,broken clouds
91,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,84,52,5.48,broken clouds
92,Bahia Honda,CU,22.9036,-83.1592,79.77,74,31,0.38,scattered clouds
93,Lagoa,PT,39.05,-27.9833,58.62,77,66,16.08,broken clouds
94,Namatanai,PG,-3.6667,152.4333,81.34,80,93,13.11,light rain
95,Tuatapere,NZ,-46.1333,167.6833,60.67,62,33,5.88,scattered clouds
96,Salalah,OM,17.0151,54.0924,75.29,57,0,1.14,clear sky
97,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,100,4.61,light snow
98,Cherskiy,RU,68.75,161.3,-1.44,83,71,2.82,broken clouds
99,Ewa Beach,US,21.3156,-158.0072,85.95,56,40,18.41,scattered clouds
100,Cap Malheureux,MU,-19.9842,57.6142,76.46,90,100,7.0,overcast clouds
101,Tezu,IN,27.9167,96.1667,69.03,86,95,3.18,overcast clouds
102,Tucuman,AR,-26.8241,-65.2226,59.0,72,14,1.14,few clouds
103,Macia,MZ,-25.0269,33.0989,73.36,76,2,5.44,clear sky
104,Severo-Kurilsk,RU,50.6789,156.125,29.52,70,100,26.44,overcast clouds
105,Walvis Bay,NA,-22.9575,14.5053,57.09,94,0,6.91,clear sky
106,Ulaangom,MN,49.9811,92.0667,14.94,80,61,3.13,broken clouds
107,Bratsk,RU,56.1325,101.6142,19.89,81,99,8.14,overcast clouds
108,Nelson Bay,AU,-32.7167,152.15,72.0,72,58,13.78,broken clouds
109,Sitka,US,57.0531,-135.33,46.29,57,100,19.57,overcast clouds
110,Lengshuitan,CN,26.4111,111.5956,55.38,76,0,1.14,clear sky
111,Bima,ID,-8.4667,118.7167,79.47,86,27,2.33,scattered clouds
112,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,100,40,15.05,scattered clouds
113,Bredasdorp,ZA,-34.5322,20.0403,60.84,80,87,7.96,overcast clouds
114,Hithadhoo,MV,-0.6,73.0833,83.07,69,5,6.51,clear sky
115,Rajgarh,IN,28.6333,75.3833,77.07,6,0,7.94,clear sky
116,Krusa,DK,54.851,9.4013,31.64,84,46,5.46,scattered clouds
117,Mae Hong Son,TH,19.3003,97.9685,73.54,53,75,5.75,broken clouds
118,Kavieng,PG,-2.5744,150.7967,80.82,78,100,10.33,overcast clouds
119,Tlapehuala,MX,18.2167,-100.5167,100.38,13,91,2.51,overcast clouds
120,Prince Rupert,CA,54.3161,-130.3201,41.09,87,100,27.63,light rain
121,Merauke,ID,-8.4667,140.3333,81.9,73,77,2.06,broken clouds
122,Berdigestyakh,RU,62.0989,126.6992,18.95,94,100,4.32,snow
123,Hastings,GB,50.8552,0.5729,37.33,62,2,10.16,clear sky
124,New Norfolk,AU,-42.7826,147.0587,59.92,61,81,1.01,broken clouds
125,Chuy,UY,-33.6971,-53.4616,62.29,77,1,10.83,clear sky
126,Palauig,PH,15.435,119.9045,82.24,65,91,3.33,overcast clouds
127,Santa Maria,BR,-29.6842,-53.8069,60.96,89,0,6.31,clear sky
128,Vasto,IT,42.1243,14.7059,43.48,70,91,8.16,overcast clouds
129,Grandview,US,38.8858,-94.533,59.99,34,0,5.75,clear sky
130,Saint-Georges,GD,12.0564,-61.7485,80.28,74,75,23.02,broken clouds
131,George Town,MY,5.4112,100.3354,76.95,94,20,4.61,few clouds
132,Georgetown,MY,5.4112,100.3354,76.95,94,20,4.61,few clouds
133,Ostrovnoy,RU,68.0531,39.5131,14.65,93,80,13.2,broken clouds
134,Srednekolymsk,RU,67.45,153.6833,-2.27,84,56,3.78,broken clouds
135,Maunabo,PR,18.0072,-65.8993,78.64,84,19,11.61,few clouds
136,Roald,NO,62.5833,6.1333,38.75,93,100,11.5,light snow
137,Dongsheng,CN,39.8161,109.9776,37.99,24,0,9.13,clear sky
138,Ilulissat,GL,69.2167,-51.1,26.62,74,47,1.14,scattered clouds
139,Ylojarvi,FI,61.5563,23.5961,26.94,85,100,3.44,overcast clouds
140,Huilong,CN,31.8111,121.655,52.93,56,0,5.44,clear sky
141,Odweyne,SO,9.4092,45.064,74.07,33,34,10.69,scattered clouds
142,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,8.05,overcast clouds
143,Kahului,US,20.8947,-156.47,84.22,63,40,27.63,scattered clouds
144,Areosa,PT,41.7178,-8.8571,44.42,65,0,11.43,clear sky
145,Port Lincoln,AU,-34.7333,135.8667,64.35,68,13,6.64,few clouds
146,Smithers,CA,54.7804,-127.1743,43.12,56,100,14.97,overcast clouds
147,Santa Cruz,BO,-17.8,-63.1667,71.06,68,40,5.75,scattered clouds
148,Jiaocheng,CN,24.6774,116.1389,55.13,74,86,3.58,overcast clouds
149,Honningsvag,NO,70.9821,25.9704,29.95,86,100,14.97,overcast clouds
150,Margate,GB,51.3813,1.3862,39.87,58,8,5.01,clear sky
151,Nikolskoye,RU,59.7035,30.7861,26.87,95,6,3.11,clear sky
152,Lewistown,US,40.5992,-77.5714,48.81,57,0,3.44,clear sky
153,Itarema,BR,-2.9248,-39.9167,75.09,88,88,8.63,overcast clouds
154,Tasiilaq,GL,65.6145,-37.6368,26.76,94,100,20.62,snow
155,Saint George,US,37.1041,-113.5841,80.64,15,0,12.66,clear sky
156,Hailar,CN,49.2,119.7,32.05,50,3,10.18,clear sky
157,Paamiut,GL,61.994,-49.6678,31.3,92,52,6.93,broken clouds
158,Bathsheba,BB,13.2167,-59.5167,77.61,69,40,19.57,scattered clouds
159,Chernihiv,UA,51.0,32.0,34.2,84,100,10.25,overcast clouds
160,Dong Hoi,VN,17.4833,106.6,63.45,85,100,15.52,overcast clouds
161,Chisinau,MD,47.0056,28.8575,49.93,97,100,15.01,overcast clouds
162,Mogadishu,SO,2.0371,45.3438,80.62,80,52,11.77,broken clouds
163,Andenes,NO,69.3143,16.1194,25.93,86,99,16.11,overcast clouds
164,Vangaindrano,MG,-23.35,47.6,69.85,93,7,3.51,clear sky
165,San Cristobal,VE,7.7669,-72.225,75.38,72,48,3.0,scattered clouds
166,Atikokan,CA,48.7555,-91.6216,33.31,83,100,7.27,light snow
167,Te Anau,NZ,-45.4167,167.7167,65.14,43,55,0.34,broken clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,80.62,64,60,11.01,broken clouds
169,Cidreira,BR,-30.1811,-50.2056,70.79,75,2,18.66,clear sky
170,Dikson,RU,73.5069,80.5464,-6.32,100,82,8.32,broken clouds
171,Asau,RO,46.4333,26.4,38.95,100,89,1.43,overcast clouds
172,Katsuura,JP,35.1333,140.3,53.11,80,100,12.62,light rain
173,Yaan,NG,7.3833,8.5667,82.22,62,94,10.78,overcast clouds
174,Bilma,NE,18.6853,12.9164,82.58,5,96,7.11,overcast clouds
175,Arraial Do Cabo,BR,-22.9661,-42.0278,76.26,89,93,16.58,overcast clouds
176,Mankono,CI,8.0586,-6.1897,73.35,95,99,9.91,heavy intensity rain
177,Vao,NC,-22.6667,167.4833,79.2,88,75,19.82,broken clouds
178,Yellowknife,CA,62.456,-114.3525,7.32,43,75,8.05,broken clouds
179,Yar-Sale,RU,66.8333,70.8333,-2.13,97,21,8.16,few clouds
